COURSE NAME,CLUSTER,COURSE CODE,UNIVERSITY,CUT-OFF POINTS,MINIMUM SUBJECT REQUIREMENTS
BACHELOR OF LAWS (LL.B.),1,1078134,Africa Nazarene University,35.173,English/Kiswahili: B
BACHELOR OF LAWS (LL.B.),1,1480134,Catholic University of Eastern Africa,36.9,
BACHELOR OF LAWS (LL.B.),1,1105134,Chuka University,39.419,
BACHELOR OF LAWS (LL.B.),1,1162134,Daystar University,35.479,
BACHELOR OF LAWS (LL.B.),1,1057134,Egerton University,39.126,
BACHELOR OF LAWS (LL.B.),1,1249134,Jomo Kenyatta University of Agriculture and Technology,40.369,
BACHELOR OF LAWS (LL.B.),1,1061134,Kabarak University,37.927,
BACHELOR OF LAWS (LL.B.),1,1111134,Kenyatta University,40.746,
BACHELOR OF LAWS (LL.B.),1,1087134,Kisii University,39.066,
BACHELOR OF LAWS (LL.B.),1,1229134,Maseno University,39.699,
BACHELOR OF LAWS (LL.B.),1,1253134,Moi University,33.665,
BACHELOR OF LAWS (LL.B.),1,1279134,Mount Kenya University,40.165,
BACHELOR OF LAWS (LL.B.),1,1060134,Riara University,37.369,
BACHELOR OF LAWS (LL.B.),1,1166134,South Eastern Kenya University,36.887,
BACHELOR OF LAWS (LL.B.),1,1685134,Tharaka University,36.078,
BACHELOR OF LAWS (LL.B.),1,1515134,Tom Mboya University,36.839,
BACHELOR OF LAWS (LL.B.),1,1093134,University of Embu,38.428,
BACHELOR OF LAWS (LL.B.),1,1263134,University of Nairobi,40.402,
BACHELOR OF LAWS (LL.B.),1,1425134,Zetech University,24.456,
BACHELOR OF COMMERCE,2,1078133,Africa Nazarene University,21.375,
BACHELOR OF COMMERCE,2,1600133,Alupe University,-,
BACHELOR OF COMMERCE,2,1480133,Catholic University of Eastern Africa,21.375,
BACHELOR OF COMMERCE,2,1105133,Chuka University,25.421,
BACHELOR OF COMMERCE,2,1080133,Co-operative University of Kenya,24.003,
BACHELOR OF COMMERCE,2,1162433,Daystar University,-,
BACHELOR OF COMMERCE,2,1162133,Daystar University,21.375,
BACHELOR OF COMMERCE,2,1173133,Dedan Kimathi University of Technology,24.388,
BACHELOR OF COMMERCE,2,1057133,Egerton University,30.01,
BACHELOR OF COMMERCE,2,1088133,Gretsa University,21.375,
BACHELOR OF COMMERCE,2,1249133,Jomo Kenyatta University of Agriculture & Technology,32.291,
BACHELOR OF COMMERCE,2,1061133,Kabarak University,21.375,
BACHELOR OF COMMERCE,2,1470133,Kaimosi Friends University,21.375,
BACHELOR OF COMMERCE,2,1103133,KCA University,21.375,
BACHELOR OF COMMERCE,2,1111133,Kenyatta University,32.613,
BACHELOR OF COMMERCE,2,1580133,Kenyatta University – Mama Ngina University College,24.044,
BACHELOR OF COMMERCE,2,1108133,Kibabii University,21.375,
BACHELOR OF COMMERCE,2,1079133,Kirinyaga University,21.375,
BACHELOR OF COMMERCE,2,1087133,Kisii University,24.305,
BACHELOR OF COMMERCE,2,3890133,Koitaleel Samoei University College,21.375,
BACHELOR OF COMMERCE,2,1176133,Laikipia University,21.375,
BACHELOR OF COMMERCE,2,1495133,Lukenya University,21.375,
BACHELOR OF COMMERCE,2,1165133,Maasai Mara University,21.375,
BACHELOR OF COMMERCE,2,1170133,Machakos University,24.21,
BACHELOR OF COMMERCE,2,1066133,Management University of Africa,21.375,
BACHELOR OF COMMERCE,2,1082133,Masinde Muliro University of Science & Technology,23.929,
BACHELOR OF COMMERCE,2,1240133,Meru University of Science and Technology,21.375,
BACHELOR OF COMMERCE,2,1279133,Mount Kenya University,21.375,
BACHELOR OF COMMERCE,2,1164133,Multimedia University of Kenya,24.16,
BACHELOR OF COMMERCE,2,1246133,Murang’a University of Technology,21.375,
BACHELOR OF COMMERCE,2,5510133,Nyandarua University College,-,
BACHELOR OF COMMERCE,2,5145133,Open University of Kenya,-,
BACHELOR OF COMMERCE,2,1068133,Pan Africa Christian University,21.375,
BACHELOR OF COMMERCE,2,1117133,Pwani University,21.375,
BACHELOR OF COMMERCE,2,1073133,Rongo University,21.375,
BACHELOR OF COMMERCE,2,1166133,South Eastern Kenya University,21.375,
BACHELOR OF COMMERCE,2,1107133,St Pauls University,21.375,
BACHELOR OF COMMERCE,2,1091133,Taita Taveta University,21.375,
BACHELOR OF COMMERCE,2,1112133,Technical University of Kenya,30.286,
BACHELOR OF COMMERCE,2,1063133,Technical University of Mombasa,21.375,
BACHELOR OF COMMERCE,2,1685133,Tharaka University,21.375,
BACHELOR OF COMMERCE,2,1515133,Tom Mboya University,-,
BACHELOR OF COMMERCE,2,1570133,Turkana University College,21.375,
BACHELOR OF COMMERCE,2,1114133,University of Eldoret,-,
BACHELOR OF COMMERCE,2,1093133,University of Embu,21.375,
BACHELOR OF COMMERCE,2,1118133,University of Kabianga,23.545,
BACHELOR OF COMMERCE,2,1263133,University of Nairobi,34.426,
BACHELOR OF COMMERCE,2,1425133,Zetech University,21.375,
BACHELOR OF SCIENCE (RECORDS MANAGEMENT AND INFORMATION TECHNOLOGY),2,1169148,Kenya Highlands Evangelical University,19.799,Mathematics: C
BACHELOR OF SCIENCE (RECORDS MANAGEMENT AND INFORMATION TECHNOLOGY),2,1111148,Kenyatta University,24.175,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1105233,Chuka University,21.375,Mathematics: C
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1096150,Garissa University,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1077150,Kenya Methodist University,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1165150,Maasai Mara University,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1082150,Masinde Muliro University of Science & Technology,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1240150,Meru University of Science and Technology,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1253150,Moi University,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1279150,Mount Kenya University,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1073150,Rongo University,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1112150,Technical University of Kenya,28.183,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1063150,Technical University of Mombasa,21.375,
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1118150,University of Kabianga,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1600151,Alupe University,21.375,Mathematics: C
